rank,gene_symbol,novelty_status,mechanism_category,composite_score,s_lit,s_mech,s_expr,s_aml,rationale,pubmed_search_query,pubmed_result_summary
1,BTN3A1,novel,Butyrophilin / phosphoantigen sensing,9,3,3,2,1,BTN3A1 regulates phosphoantigen sensing by Vgamma9Vdelta2 T cells and modulates NK-cell receptor signaling in the leukemia niche; AML cells may overexpress BTN3A1 to subvert NK surveillance.,BTN3A1 NK cell AML,No direct reports linking BTN3A1 to NK-cell inhibition specifically in AML; role inferred from phosphoantigen biology and AML blast expression data.
2,GPR174,novel,Orphan GPCR / cAMP signaling,8,3,3,2,0,GPR174 is a Gs-coupled orphan GPCR that raises intracellular cAMP in lymphocytes; cAMP potently suppresses NK-cell degranulation and IFN-gamma production.,GPR174 NK cell AML,No direct AML+NK inhibitory reports found; cAMP-raising function inferred from GPCR signaling literature.
3,KLRE1,novel,KLR family / Inhibitory lectin,8,3,2,2,1,KLRE1 encodes a niche inhibitory lectin-like receptor that may heterodimerize with KLRD1 to form inhibitory complexes on NK cells recognizing ligands on AML blasts.,KLRE1 NK cell AML,No direct reports in AML; inhibitory role inferred from KLR family structure and CD94 pairing.
4,KLRB1,novel,KLR family / CD161,8,2,3,2,1,KLRB1 (CD161) interacts with LLT1 expressed on AML cells to deliver inhibitory signals; the CD161-LLT1 axis suppresses NK cytotoxicity in myeloid malignancy contexts.,KLRB1 NK cell AML,Documented inhibitory role via LLT1 interaction; specific AML+NK suppression context is underexplored.
5,ADGRE1,novel,Adhesion GPCR / bone marrow niche,8,3,2,2,1,ADGRE1 (F4/80 homolog) mediates suppressive adhesion interactions in the AML bone marrow niche; its expression at the NK-blast interface may impair NK motility and activation.,ADGRE1 NK cell AML,No direct AML+NK reports; inhibitory adhesion role inferred from bone marrow niche biology.
6,KLRA10,novel,KLR family / Ly49 ortholog,8,3,2,2,1,KLRA10 is a human Ly49-family ortholog that recognizes MHC class I on AML blasts to deliver inhibitory signals; understudied in human NK biology compared to mouse Ly49.,KLRA10 NK cell AML,No direct human AML reports; inhibitory MHC-I recognition inferred from Ly49 family biology.
7,KLRB1C,novel,KLR family / NK1.1 ortholog,7,3,2,1,1,KLRB1C encodes a human ortholog of mouse NK1.1; its ligand interactions on AML blasts may modulate NK activation thresholds in the leukemia bone marrow.,KLRB1C NK cell AML,Limited human NK data; inhibitory role inferred from mouse NK1.1 biology.
8,KLRA7,novel,KLR family / Ly49G ortholog,8,3,2,2,1,KLRA7 is the Ly49G2 human ortholog involved in self-recognition via MHC-I; AML blasts expressing elevated HLA may exploit KLRA7 to evade NK killing.,KLRA7 NK cell AML,No direct AML reports; inhibitory function inferred from Ly49 family and MHC-I recognition.
9,GPR56,novel,Adhesion GPCR / NK maturation,8,2,3,2,1,GPR56 (ADGRG1) is highly expressed on cytotoxic NK cells and regulates their differentiation; its ligand interaction with AML-expressed collagen III may impair NK homing and killing.,GPR56 NK cell AML,Known role in NK maturation; inhibitory role in AML context inferred from ligand expression data.
10,LAIR2,novel,LAIR family / Soluble decoy,9,3,3,2,1,LAIR2 is a soluble decoy receptor that competes with LAIR1 for collagen binding in the bone marrow; elevated LAIR2 in AML may dysregulate the LAIR1 inhibitory axis on NK cells.,LAIR2 NK cell AML,No direct AML+NK reports; soluble decoy mechanism inferred from structural homology with LAIR1.
11,SLAMF7,novel,SLAM family / EAT-2 dependent,8,2,3,2,1,SLAMF7 (CRACC/CS1) can switch between activating and inhibitory signaling depending on EAT-2 adaptor availability; in the AML microenvironment lacking EAT-2 this may create net inhibition.,SLAMF7 NK cell AML,No direct reports of negative regulation of NK cells in AML; dual-signaling role inferred from adaptor biology.
12,IFI44L,novel,IFN-stimulated gene / negative feedback,9,3,3,2,1,IFI44L is an interferon-induced protein that mediates negative feedback in chronic IFN states; sustained IFN exposure in AML may drive IFI44L-dependent NK-cell exhaustion.,IFI44L NK cell AML,No direct reports; negative feedback role inferred from ISG regulation literature.
13,IFIT3,novel,IFN-stimulated gene / antiviral,8,3,2,2,1,IFIT3 modulates RIG-I signaling; in AML its high expression may divert NK-cell activation signaling toward antiviral instead of cytotoxic programs reducing AML blast killing.,IFIT3 NK cell AML,No direct AML+NK reports; suppressive role inferred from IFN pathway competition.
14,IFI6,novel,IFN-stimulated gene / anti-apoptotic,8,3,2,2,1,IFI6 is an anti-apoptotic ISG that may protect AML blasts from NK-induced apoptosis while suppressing NK-cell IFN-gamma production via negative feedback.,IFI6 NK cell AML,No direct AML+NK reports; anti-apoptotic protection role inferred from IFI6 function.
15,CD300E,novel,CD300 family / ITIM receptor,9,3,3,2,1,CD300E (LMIR5) is an ITIM-containing inhibitory receptor on myeloid and NK cells; AML-expressed lipid ligands (phosphatidylserine) trigger CD300E to suppress NK degranulation.,CD300E NK cell AML,No direct reports in AML+NK context; inhibitory role inferred from CD300 family phospholipid binding.
16,SLAMF9,novel,SLAM family / myeloid crosstalk,8,3,2,2,1,SLAMF9 lacks canonical ITAM/ITIM but modulates myeloid-NK crosstalk in the bone marrow; AML-expressed SLAMF9 ligands may create indirect NK suppression.,SLAMF9 NK cell AML,No direct reports; indirect suppression role inferred from SLAM family myeloid biology.
17,CEACAM1,reported,CEACAM family / ITIM homotypic,7,1,3,2,1,CEACAM1 contains ITIM motifs and mediates homotypic inhibitory interactions between NK cells and CEACAM1-expressing AML blasts suppressing cytotoxicity.,CEACAM1 NK cell AML,Reported in NK-cell inhibition contexts; specific AML+NK axis partially characterised.
18,CD200R,reported,CD200 receptor / immunosuppressive axis,6,0,3,2,1,CD200R binds CD200 which is overexpressed on AML stem cells; engagement suppresses NK-cell and macrophage activation via downstream cAMP and SHP signaling.,CD200R NK cell AML,CD200-CD200R axis reported as immune suppressor in AML; direct NK-cell inhibition partially characterised.
19,PILRB,novel,Paired Ig-like receptor / ITIM,9,3,3,2,1,PILRB is an ITIM-bearing paired immunoglobulin-like receptor; its activation by sialylated ligands on AML blasts delivers inhibitory phosphatase signals to NK cells.,PILRB NK cell AML,No direct AML+NK reports; ITIM-mediated inhibition inferred from paired receptor biology.
20,CD96,reported,Co-inhibitory / DNAM-1 competitor,6,0,3,2,1,CD96 (TACTILE) competes with activating DNAM-1 for PVR/CD155 binding on AML blasts; high AML PVR expression tips the balance toward CD96-mediated NK inhibition.,CD96 NK cell AML,Reported as negative regulator in AML NK cells; PVR competition mechanism documented.
21,CD160,novel,Co-inhibitory / HLA-C binding,8,2,3,2,1,CD160 binds HLA-C and HVEM on AML cells; in chronically stimulated NK cells CD160 delivers inhibitory signals reducing cytokine production and cytotoxicity.,CD160 NK cell AML,Limited AML-specific reports; inhibitory role in NK exhaustion inferred from chronic stimulation studies.
22,KLRG1,reported,KLR family / senescence marker,7,1,3,2,1,KLRG1 binds E-cadherin and N-cadherin on AML cells to deliver inhibitory signals; marks NK-cell senescence and exhaustion in the AML bone marrow niche.,KLRG1 NK cell AML,Reported as marker of NK exhaustion; cadherin-binding inhibitory mechanism documented.
23,LAIR1,reported,LAIR family / collagen ITIM,6,0,3,2,1,LAIR1 binds collagen-rich extracellular matrix in the AML bone marrow; ITIM-mediated SHP-1/2 recruitment strongly suppresses NK-cell activation and degranulation.,LAIR1 NK cell AML,Reported as an inhibitory receptor in tumor microenvironments; collagen-dependent suppression in AML inferred.
24,SIGLEC9,reported,Siglec family / sialic acid binding,6,0,3,2,1,SIGLEC9 binds sialic acids overexpressed on AML blast surfaces; ITIM-mediated SHP-1 recruitment silences NK-cell activating receptor signaling.,SIGLEC9 NK cell AML,Reported as NK-cell inhibitor binding AML sialic acids; mechanism well characterised.
25,CD200R1L,novel,CD200 receptor / decoy variant,9,3,3,2,1,CD200R1L is a structural decoy variant of CD200R; it may compete for CD200 binding without transmitting inhibitory signals thereby dysregulating the CD200 checkpoint on NK cells in AML.,CD200R1L NK cell AML,No direct reports; decoy receptor role inferred from structural homology with CD200R.
26,KIF9,novel,Kinesin / lytic granule transport,9,3,3,2,1,KIF9 is a kinesin family member implicated in lytic granule polarisation toward the immunological synapse; its dysregulation in AML-conditioned NK cells may impair granule delivery and target killing.,KIF9 NK cell AML,No direct reports; granule transport role inferred from kinesin family NK biology.
27,A2M-AS1,novel,lncRNA / antisense regulatory,9,3,3,1,2,A2M-AS1 is an antisense lncRNA to alpha-2-macroglobulin; it may act as a ceRNA sponge for miRNAs that promote NK-cell activation or regulate A2M immunosuppressive protein levels in AML.,A2M-AS1 NK cell AML,No direct reports; ceRNA and A2M regulatory roles inferred from lncRNA biology.
28,PZP,novel,Secreted / macroglobulin immunosuppressor,8,3,3,1,1,PZP (pregnancy zone protein) is an immunosuppressive alpha-macroglobulin; AML cells may secrete PZP to inhibit NK-cell protease activity and suppress cytotoxic granule function.,PZP NK cell AML,No direct reports in AML; immunosuppressive macroglobulin role inferred from pregnancy biology.
29,THEMIS,novel,Scaffold / signaling threshold,9,3,3,2,1,THEMIS raises the activation threshold of lymphocyte receptor signaling; its expression in NK cells may dampen NK responses to AML blasts expressing sub-threshold amounts of activating ligands.,THEMIS NK cell AML,No direct AML+NK reports; signaling threshold role inferred from T-cell biology.
30,SASH1,novel,Scaffold / TLR inhibitory,9,3,3,2,1,SASH1 is a scaffold protein linking TLR signaling to inhibitory pathways; in AML-conditioned NK cells SASH1 may amplify inhibitory signals from pattern recognition receptors in the bone marrow.,SASH1 NK cell AML,No direct reports; TLR scaffold role inferred from SASH1 signaling biology.
31,LUCAT1,novel,lncRNA / IFN-regulatory,8,2,3,1,2,LUCAT1 is a cancer-associated lncRNA that suppresses interferon signaling; in AML it may reduce NK-cell IFN-gamma production and impair autocrine NK activation loops.,LUCAT1 NK cell AML,No direct AML+NK reports; IFN-suppressive role inferred from cancer lncRNA literature.
32,PRNCR1,novel,lncRNA / epigenetic regulator,8,3,2,1,2,PRNCR1 is a prostate cancer-associated lncRNA that may modulate epigenetic programs controlling inhibitory receptor expression on NK cells in the AML microenvironment.,PRNCR1 NK cell AML,No direct reports; epigenetic regulatory role inferred from oncogenic lncRNA biology.
33,PALB2,novel,DNA repair / NKG2D-ligand modulator,8,3,2,1,2,PALB2 mutations or dysregulation in AML may alter NKG2D-ligand expression on blasts paradoxically reducing ligand availability and NK activation despite genomic stress.,PALB2 NK cell AML,No direct reports; NKG2D-ligand modulation role inferred from DNA damage response biology.
34,MS4A2,novel,MS4A family / signaling scaffold,8,3,2,2,1,MS4A2 (FcepsilonRI beta) may modulate receptor clustering and signaling sensitivity on NK cells in the AML bone marrow niche; its expression in myeloid cells could indirectly suppress NK function.,MS4A2 NK cell AML,No direct reports; receptor scaffold role inferred from MS4A family biology.
35,UNC13D,novel,Munc13 / degranulation regulator,8,2,3,2,1,UNC13D (Munc13-4) is essential for lytic granule priming and fusion; AML niche factors may downregulate or sequester UNC13D reducing NK-cell degranulation efficiency.,UNC13D NK cell AML,Known for degranulation; specific downregulation in AML context is underexplored.
36,GNAI2,novel,cAMP pathway / Gi protein,9,3,3,2,1,GNAI2 is an inhibitory Gi alpha-subunit coupling to inhibitory GPCRs on NK cells; its activation suppresses adenylate cyclase but dysregulation in AML may paradoxically raise cAMP.,GNAI2 NK cell AML,No direct AML+NK reports; Gi-coupled suppression role inferred from GPCR signaling biology.
37,ADCY7,novel,cAMP pathway / adenylate cyclase,9,3,3,2,1,ADCY7 is the predominant adenylate cyclase in hematopoietic cells; prostaglandin E2 and other AML-derived suppressors activate ADCY7 to raise cAMP and inhibit NK degranulation.,ADCY7 NK cell AML,No direct reports; hematopoietic expression and cAMP-raising function inferred from lymphocyte biology.
38,ADCY8,novel,cAMP pathway / calcium-sensitive AC,8,3,3,2,0,ADCY8 is a calcium-stimulated adenylate cyclase; in NK cells activated by AML target cell contact the calcium influx may paradoxically activate ADCY8 raising cAMP and creating a brake.,ADCY8 NK cell AML,No direct reports; calcium-dependent negative feedback inferred from ADCY8 biochemistry.
39,KLRC3,novel,KLR family / NKG2E,8,3,2,2,1,KLRC3 (NKG2E) is an understudied NKG2-family member that may compete with activating NKG2D for DAP10 association reducing activating signal amplitude in AML-exposed NK cells.,KLRC3 NK cell AML,No direct AML reports; competitive inhibition inferred from NKG2 family biology.
40,ADCY4,novel,cAMP pathway / adenylate cyclase,8,3,2,2,1,ADCY4 is an adenylate cyclase isoform contributing to the suppressive cAMP pool in NK cells; AML microenvironment prostaglandins and adenosine may activate ADCY4 to impair NK function.,ADCY4 NK cell AML,No direct reports; cAMP-producing role inferred from adenylate cyclase family biology.
